strd_yymm,ovd_info_strd_yymm,deto_id,loan_tpbuz_ctgo_nm,inst_id,ovd_typ_nm,ovd_rson_nm,reg_rson_nm,ovd_reg_yymm,ovd_amt
202010,201801,X0010254691714933659,21,Y1605029911648266013,1,101,0,201801,5700
202010,201802,X0010254691714933659,21,Y1605029911648266013,1,101,0,201801,5700
202010,201612,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201612,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201701,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201701,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201702,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201702,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201703,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201703,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201704,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201704,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201705,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201705,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201706,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201706,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201706,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201707,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201707,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201707,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201708,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201708,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201708,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201709,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201709,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201709,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201710,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201710,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201710,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201711,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201711,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201711,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201712,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201712,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201712,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201801,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201801,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201801,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201802,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201802,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201802,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201802,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201803,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201803,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201803,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201803,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201804,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201804,X0214807498644962070,5,Y4755574378503849999,1,104,7,201611,900
202010,201804,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201804,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201805,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201805,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201805,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201806,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201806,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201806,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201807,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201807,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201807,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201808,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201808,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201808,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201809,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201809,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201809,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201810,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201810,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201810,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201811,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
202010,201811,X0214807498644962070,98,Y4768932821498392758,1,202,0,201706,12000
202010,201811,X0214807498644962070,98,Y9036878020951295900,1,101,0,201404,10000
202010,201812,X0214807498644962070,1,X3032578545057756902,1,101,0,201802,270000
